policy_id,claim_id,customer_age,customer_gender,customer_state,vehicle_make,vehicle_model,vehicle_year,claim_date,claim_type,claim_amount,deductible,claim_status,annual_premium,is_fraud
POL000001,CLM00000001,56,M,PA,Kia,Sedan,2013,2025-03-09 16:00:29.415798,Comprehensive,1365.18,1000,Denied,1003.09,False
POL000002,CLM00000002,69,M,OH,Hyundai,Convertible,2023,2023-09-16 16:00:29.415798,Collision,1951.25,2500,Denied,1690.07,False
POL000003,CLM00000003,46,F,NC,Mercedes,Convertible,2013,2023-06-19 16:00:29.415798,Liability,631.11,1000,Approved,991.83,False
POL000004,CLM00000004,32,M,FL,Chevrolet,Hatchback,2023,2024-03-01 16:00:29.415798,Personal Injury Protection,7315.55,500,Denied,1285.76,False
POL000005,CLM00000005,60,M,GA,Toyota,Hatchback,2018,2024-01-30 16:00:29.415798,Uninsured Motorist,1782.76,250,Approved,1116.04,True
POL000006,CLM00000006,25,F,TX,Nissan,Hatchback,2018,2024-01-08 16:00:29.415798,Comprehensive,2420.33,1000,Approved,1312.61,False
POL000007,CLM00000007,78,M,OH,Audi,Sedan,2018,2023-10-14 16:00:29.415798,Uninsured Motorist,7402.86,2500,Pending,1340.16,False
POL000008,CLM00000008,38,M,TX,Honda,SUV,2019,2023-09-06 16:00:29.415798,Personal Injury Protection,2044.87,500,Denied,1550.97,False
POL000009,CLM00000009,56,M,NY,Nissan,Coupe,2016,2025-04-16 16:00:29.415798,Liability,6368.32,250,Approved,1145.84,False
POL000010,CLM00000010,75,M,OH,BMW,Hatchback,2023,2024-12-03 16:00:29.415798,Personal Injury Protection,1055.65,2500,Approved,1326.21,False
POL000011,CLM00000011,36,M,FL,Audi,SUV,2011,2023-08-22 16:00:29.415798,Personal Injury Protection,7775.39,2500,Denied,1127.08,False
POL000012,CLM00000012,40,F,TX,Chevrolet,Truck,2019,2025-01-18 16:00:29.415798,Uninsured Motorist,4196.08,2500,Approved,1497.88,False
POL000013,CLM00000013,28,M,MI,BMW,Hatchback,2014,2024-07-30 16:00:29.415798,Comprehensive,2728.26,1000,Approved,1341.73,False
POL000014,CLM00000014,28,M,OH,Nissan,Coupe,2013,2023-06-26 16:00:29.415798,Personal Injury Protection,3397.83,500,Approved,1398.41,False
POL000015,CLM00000015,41,M,CA,Toyota,Truck,2021,2023-06-24 16:00:29.415798,Uninsured Motorist,823.23,2500,Approved,1510.81,False
POL000016,CLM00000016,70,M,GA,Toyota,Truck,2020,2023-08-28 16:00:29.415798,Comprehensive,3320.93,1000,Denied,1808.55,False
POL000017,CLM00000017,53,M,FL,Chevrolet,Coupe,2017,2024-01-03 16:00:29.415798,Liability,2587.2,500,Approved,1403.37,False
POL000018,CLM00000018,57,F,TX,Ford,Hatchback,2011,2024-01-18 16:00:29.415798,Liability,846.04,500,Denied,1078.69,True
POL000019,CLM00000019,41,M,FL,Kia,Sedan,2015,2024-10-23 16:00:29.415798,Collision,1523.74,1000,Approved,1466.02,True
POL000020,CLM00000020,20,F,PA,Honda,Coupe,2022,2025-01-30 16:00:29.415798,Uninsured Motorist,2619.54,1000,Denied,1623.4,False
POL000021,CLM00000021,39,F,GA,Ford,Coupe,2014,2023-06-21 16:00:29.415798,Comprehensive,1624.1,2500,Pending,1405.74,True
POL000022,CLM00000022,70,M,MI,Toyota,Coupe,2021,2024-12-19 16:00:29.415798,Personal Injury Protection,267.17,500,Denied,1645.63,False
POL000023,CLM00000023,19,M,OH,Toyota,Truck,2011,2023-12-14 16:00:29.415798,Liability,8746.31,250,Under Investigation,2123.0,False
POL000024,CLM00000024,41,M,OH,Mercedes,SUV,2020,2025-03-20 16:00:29.415798,Comprehensive,2586.11,1000,Pending,1279.61,False
POL000025,CLM00000025,61,M,OH,BMW,Sedan,2019,2025-05-12 16:00:29.415798,Uninsured Motorist,306.76,500,Approved,1343.24,False
POL000026,CLM00000026,47,F,GA,Nissan,Hatchback,2010,2024-12-03 16:00:29.415798,Collision,25209.17,500,Denied,1531.99,False
POL000027,CLM00000027,55,M,CA,Honda,Hatchback,2017,2024-07-27 16:00:29.415798,Liability,10315.39,2500,Under Investigation,1020.65,True
